Date,Fallacy,Label,Subcategory,Context,full_sentence,long_fallacy
1992,"You know, nobody likes who shot John, but I think the first negative campaign run in this election was by Governor Clinton, and I'm not going to sit there and be a punching bag; I'm going to stand up and say, hey, listen, here's my side of it.",AppealtoEmotion,Loaded Language,"My record on world affairs is pretty well known because I've been president for 4 years, so I feel I've been talking issues. You know, nobody likes who shot John, but I think the first negative campaign run in this election was by Governor Clinton, and I'm not going to sit there and be a punching bag; I'm going to stand up and say, hey, listen, here's my side of it. But character is an important part of the equation.","You know, nobody likes who shot John, but I think the first negative campaign run in this election was by Governor Clinton, and I'm not going to sit there and be a punching bag; I'm going to stand up and say, hey, listen, here's my side of it.","You know, nobody likes who shot John, but I think the first negative campaign run in this election was by Governor Clinton, and I'm not going to sit there and be a punching bag; I'm going to stand up and say, hey, listen, here's my side of it."
1960,"We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny.",AppealtoEmotion,Flag waving,"If we are going to have the initiative in the world, we must remember that the people of Africa and Asia and Latin America don't want to be pawns simply in a struggle between two great powers - the Soviet Union and the United States. We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny. If we can get that across to the people of these countries, in this decade of the sixties, the struggle for freedom will be won.","We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny.","We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny."
2000,"I think that one of the problems that we have faced in the world is that we are so much more powerful than any single nation has been in relationship to the rest of the world than at any time in history, that I know about, anyway.",AppealtoEmotion,Loaded Language,"I agree with that. I think that one of the problems that we have faced in the world is that we are so much more powerful than any single nation has been in relationship to the rest of the world than at any time in history, that I know about, anyway. That there is some resentment of U. S. power.","I think that one of the problems that we have faced in the world is that we are so much more powerful than any single nation has been in relationship to the rest of the world than at any time in history, that I know about, anyway.","I think that one of the problems that we have faced in the world is that we are so much more powerful than any single nation has been in relationship to the rest of the world than at any time in history, that I know about, anyway."
2016,"And we have to be sure that Muslims come in and report when they see something going on. When they see hatred going on, they have to report it.",AppealtoEmotion,Flag waving,"I mean, whether we like it or not, and we could be very politically correct, but whether we like it or not, there is a problem. And we have to be sure that Muslims come in and report when they see something going on. When they see hatred going on, they have to report it. As an example, in San Bernardino, many people saw the bombs all over the apartment of the two people that killed 14 and wounded many, many people.",And we have to be sure that Muslims come in and report when they see something going on.,"And we have to be sure that Muslims come in and report when they see something going on. When they see hatred going on, they have to report it."
1996,"They know the Republican Party hasn't done it. They know the Democratic party won't do it. We ought to agree that somebody else should do it. And we have to vote it up or down, Mr. President.",AppealtoAuthority,Appeal to popular opinion,"Millions and millions of Americans. They know the Republican Party hasn't done it. They know the Democratic party won't do it. We ought to agree that somebody else should do it. And we have to vote it up or down, Mr. President.",They know the Republican Party hasn't done it.,"They know the Republican Party hasn't done it. They know the Democratic party won't do it. We ought to agree that somebody else should do it. And we have to vote it up or down, Mr. President."
1988,"a very, very bad message",AppealtoEmotion,Loaded Language,"And Mr. Bush is right - the two go hand in hand. But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you. Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.","But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you.","But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you."
2004,"Once again, the president is misleading America.",AppealtoEmotion,Loaded Language,"And in 2006, our seniors will get a prescription drug coverage in Medicare. Once again, the president is misleading America. I've actually passed 56 individual bills that I've personally written and, in addition to that, and not always under my name, there is amendments on certain bills.","Once again, the president is misleading America.","Once again, the president is misleading America."
1976,"With all due respect to President Ford, I think he ought to be ashamed of mentioning that statement, because we have the highest unemployment rate now than we had at any time between the Great Depression caused by Herbert Hoover and the time President Ford took office.",AppealtoEmotion,Appeal to pity,"It means that the American buyer is getting a better bargain today because inflation is less. With all due respect to President Ford, I think he ought to be ashamed of mentioning that statement, because we have the highest unemployment rate now than we had at any time between the Great Depression caused by Herbert Hoover and the time President Ford took office. We've got seven and a half million people out of jobs.","With all due respect to President Ford, I think he ought to be ashamed of mentioning that statement, because we have the highest unemployment rate now than we had at any time between the Great Depression caused by Herbert Hoover and the time President Ford took office.","With all due respect to President Ford, I think he ought to be ashamed of mentioning that statement, because we have the highest unemployment rate now than we had at any time between the Great Depression caused by Herbert Hoover and the time President Ford took office."
1980,"I had a discussion with my daughter, Amy, the other day, before I came here, to ask her what the most important issue was. She said she thought nuclear weaponry - and the control of nuclear arms. This is a formidable force.",AppealtoAuthority,False Authority,"I think, to close out this discussion, it would be better to put into perspective what we're talking about. I had a discussion with my daughter, Amy, the other day, before I came here, to ask her what the most important issue was. She said she thought nuclear weaponry - and the control of nuclear arms. This is a formidable force. Some of these weapons have 10 megatons of explosion.","I had a discussion with my daughter, Amy, the other day, before I came here, to ask her what the most important issue was.","I had a discussion with my daughter, Amy, the other day, before I came here, to ask her what the most important issue was. She said she thought nuclear weaponry - and the control of nuclear arms. This is a formidable force."
2004,John Kerry and I will always fight for the American people.,AppealtoEmotion,Flag waving,They're with the insurance companies. John Kerry and I will always fight for the American people.,John Kerry and I will always fight for the American people.,John Kerry and I will always fight for the American people.
1996,"Well, first of all, there are virtually no large differences in the defense budgets put forward by President Clinton and put forward by the majority in the Congress in the last two years.",AppealtoAuthority,Appeal to popular opinion,"It should be predicated upon the defense needs, the security needs, the strategic needs of the United States of America, and that's how they'll be made under Bob Dole as president. Well, first of all, there are virtually no large differences in the defense budgets put forward by President Clinton and put forward by the majority in the Congress in the last two years. They're very, very similar.","Well, first of all, there are virtually no large differences in the defense budgets put forward by President Clinton and put forward by the majority in the Congress in the last two years.","Well, first of all, there are virtually no large differences in the defense budgets put forward by President Clinton and put forward by the majority in the Congress in the last two years."
2004,the deadly technologies,AppealtoEmotion,Loaded Language,"I have not suggested there's a connection between Iraq and 9/11, but there's clearly an established Iraqi track record with terror. And the point is that that's the place where you're most likely to see the terrorists come together with weapons of mass destruction, the deadly technologies that Saddam Hussein had developed and used over the years. Now, the fact of the matter is, the big difference here, Gwen, is they are not prepared to deal with states that sponsor terror.","And the point is that that's the place where you're most likely to see the terrorists come together with weapons of mass destruction, the deadly technologies that Saddam Hussein had developed and used over the years.","And the point is that that's the place where you're most likely to see the terrorists come together with weapons of mass destruction, the deadly technologies that Saddam Hussein had developed and used over the years."
2016,you acid washed,AppealtoEmotion,Loaded Language,"And I was so surprised to see him sign on with the devil. But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e - mails that you deleted, and that you acid washed, and then the two boxes of e - mails and other things last week that were taken from an office and are now missing. And I’ll tell you what.","But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e - mails that you deleted, and that you acid washed, and then the two boxes of e - mails and other things last week that were taken from an office and are now missing.","But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e - mails that you deleted, and that you acid washed, and then the two boxes of e - mails and other things last week that were taken from an office and are now missing."
1960,we found that six hundred million people went behind the Iron Curtain,AppealtoEmotion,Loaded Language,"First, we have to learn from the past, because we cannot afford to make the mistakes of the past. In the seven years before this Administration came into power in Washington, we found that six hundred million people went behind the Iron Curtain. And at the end of that seven years we were engaged in a war in Korea which cost of thirty thousand American lives.","In the seven years before this Administration came into power in Washington, we found that six hundred million people went behind the Iron Curtain.","In the seven years before this Administration came into power in Washington, we found that six hundred million people went behind the Iron Curtain."
2004,"And the vice president didn't say much about it in your earlier question, but Paul Bremer has now made clear that they didn't have enough troops and they didn't have a plan.",AppealtoAuthority,Without Evidence,"We've made very clear from the beginning -- and not an afterthought; we said it at the time -- that we had to confront Saddam Hussein and that we had to have a coalition and a plan to be successful. And the vice president didn't say much about it in your earlier question, but Paul Bremer has now made clear that they didn't have enough troops and they didn't have a plan. And the American people are seeing the results of that every single day, in spite of the proud and courageous service of our men and women in uniform.","And the vice president didn't say much about it in your earlier question, but Paul Bremer has now made clear that they didn't have enough troops and they didn't have a plan.","And the vice president didn't say much about it in your earlier question, but Paul Bremer has now made clear that they didn't have enough troops and they didn't have a plan."
2016,It is—our country has the slowest growth and jobs are a disaster.,AppealtoEmotion,Loaded Language,We have the slowest growth since 1929. It is—our country has the slowest growth and jobs are a disaster.,It is—our country has the slowest growth and jobs are a disaster.,It is—our country has the slowest growth and jobs are a disaster.
1988,"Now, that's a certain passion that in my view it's misguided passion.",AppealtoEmotion,Loaded Language,"He introduced or supported legislation back then that suggested that kids of Massachusetts should be exempt from going overseas in that war. Now, that's a certain passion that in my view it's misguided passion. He - we have a big difference on issues.","Now, that's a certain passion that in my view it's misguided passion.","Now, that's a certain passion that in my view it's misguided passion."
1996,"Folks, we can build that bridge to the 21st Century, big enough and strong enough for all of us to walk across, and I hope you will help me build it.",AppealtoEmotion,Flag waving,"I think of all the people I grew up with and went to school with and who I stay in touch with and who nerve let me forget how what we do in Washington affects all of you out there in America. Folks, we can build that bridge to the 21st Century, big enough and strong enough for all of us to walk across, and I hope you will help me build it. Thank you, Jim; thank you, Mr. President; thank everyone for watching and listening.","Folks, we can build that bridge to the 21st Century, big enough and strong enough for all of us to walk across, and I hope you will help me build it.","Folks, we can build that bridge to the 21st Century, big enough and strong enough for all of us to walk across, and I hope you will help me build it."
1988,single most important public health emergency we've had in our lifetimes,AppealtoEmotion,Loaded Language,"(Applause) Let me say this about AIDS. It's the single most important public health crisis, single most important public health emergency we've had in our lifetimes and I think there are a number of things we have to do including supporting legislation which is now moving through the Congress, which will commit this nation to the resources to find a cure which will provide broad education and prevention, which will provide sensitive and caring treatment for the victims of AIDS. I think we have to demonstrate some flexibility and I think the FDA is attempting to do so now in trying to make it possible for new and experimental drugs to be available to people who are at risk at AIDS and I would hope that we could bring that kind of a policy to bear beginning in January.","It's the single most important public health crisis, single most important public health emergency we've had in our lifetimes and I think there are a number of things we have to do including supporting legislation which is now moving through the Congress, which will commit this nation to the resources to find a cure which will provide broad education and prevention, which will provide sensitive and caring treatment for the victims of AIDS.","It's the single most important public health crisis, single most important public health emergency we've had in our lifetimes and I think there are a number of things we have to do including supporting legislation which is now moving through the Congress, which will commit this nation to the resources to find a cure which will provide broad education and prevention, which will provide sensitive and caring treatment for the victims of AIDS."
1996,Some schools aren't safe. Some schools aren't even safe. Your choice is nothing.,AppealtoEmotion,Loaded Language,"Why can't Landale Shakespeare in Cleveland or Pilar Gonzales in Milwaukee give their children an opportunity to go to a better school. Some schools aren't safe. Some schools aren't even safe. Your choice is nothing. Let's give them a real choice, the kind of choice you had, and the kind of choice a lot of people have in America.",Some schools aren't safe.,Some schools aren't safe. Some schools aren't even safe. Your choice is nothing.
1996,"We need somebody who understands the potential of the American people, who are not just doing well for ourselves, we need to do well for the rest of the world, because they're looking at us.",AppealtoEmotion,Flag waving,"It can be done. We need somebody who understands the potential of the American people, who are not just doing well for ourselves, we need to do well for the rest of the world, because they're looking at us. And we need to make it work in every neighborhood and community in America and for every family, so that no one as Bob Dole said in his San Diego acceptance speech is left behind.","We need somebody who understands the potential of the American people, who are not just doing well for ourselves, we need to do well for the rest of the world, because they're looking at us.","We need somebody who understands the potential of the American people, who are not just doing well for ourselves, we need to do well for the rest of the world, because they're looking at us."
2000,Let me just tell you who the jury is. The people of Texas.,AppealtoAuthority,Appeal to popular opinion,"And as the percentage of the population is increasing nationally, somehow the allegation that we don't care and we're going to give money for this interest or that interest and not for children in the State of Texas is totally absurd. Let me just tell you who the jury is. The people of Texas. There's only been one governor ever elected to back - to - back four - year terms, and that was me.",Let me just tell you who the jury is.,Let me just tell you who the jury is. The people of Texas.
2012,the greatest failure,AppealtoEmotion,Loaded Language,"So we can make changes in the way our culture works to help bring people away from violence and give them opportunity, and bring them in the American system. The -- the greatest failure we've had with regards to -- to gun violence in some respects is what -- what is known as Fast and Furious. Which was a program under this administration, and how it worked exactly I think we don't know precisely, where thousands of automatic, and AK-47 type weapons were -- were given to people that ultimately gave them to -- to drug lords.",The -- the greatest failure we've had with regards to -- to gun violence in some respects is what -- what is known as Fast and Furious.,The -- the greatest failure we've had with regards to -- to gun violence in some respects is what -- what is known as Fast and Furious.
2016,choking,AppealtoEmotion,Loaded Language,"But you look at the Middle East, you started the Iran deal, that's another beauty where you have a country that was ready to fall, I mean, they were doing so badly. They were choking on the sanctions. And now they're going to be actually probably a major power at some point pretty soon, the way they're going.",They were choking on the sanctions.,They were choking on the sanctions.
2004,such a great job,AppealtoEmotion,Loaded Language,"I mean, we thought we'd whip more of them going in. But because Tommy Franks did such a great job in planning the operations, we moved rapidly, and a lot of the Baathists and Saddam loyalists laid down their arms and disappeared. I thought they would stay and fight, but they didn't.","But because Tommy Franks did such a great job in planning the operations, we moved rapidly, and a lot of the Baathists and Saddam loyalists laid down their arms and disappeared.","But because Tommy Franks did such a great job in planning the operations, we moved rapidly, and a lot of the Baathists and Saddam loyalists laid down their arms and disappeared."
2008,"I think it -- that we have a safer nation, but we are a long way from safe.",AppealtoEmotion,Appeal to fear,"I think it's much less than it was the day after 9/11. I think it -- that we have a safer nation, but we are a long way from safe. And I want to tell you that one of the things I'm most proud of, among others, because I have worked across the aisle.","I think it -- that we have a safer nation, but we are a long way from safe.","I think it -- that we have a safer nation, but we are a long way from safe."
1980,We believe that that's too much additional money to take out of the pockets of the people.,AppealtoEmotion,Appeal to fear,"But he's going to get a half - a - trillion dollars more over the next five years that he can use for additional programs, or hopefully, someplace down the line, balancing the budget. We believe that that's too much additional money to take out of the pockets of the people. Mr. Moyers, I'm not here to debate Governor Reagan's record as Governor.",We believe that that's too much additional money to take out of the pockets of the people.,We believe that that's too much additional money to take out of the pockets of the people.
2012,"This is not just a women's issue, this is a family issue, this is a middle - class issue, and that's why we've got to fight for it.",AppealtoEmotion,Flag waving,"And that's an example of the kind of advocacy that we need, because women are increasingly the breadwinners in the family. This is not just a women's issue, this is a family issue, this is a middle - class issue, and that's why we've got to fight for it. It also means that we've got to make sure that young people like yourself are able to afford a college education.","This is not just a women's issue, this is a family issue, this is a middle - class issue, and that's why we've got to fight for it.","This is not just a women's issue, this is a family issue, this is a middle - class issue, and that's why we've got to fight for it."
2016,tremendous,AppealtoEmotion,Loaded Language,"Well, I'm really calling for major jobs, because the wealthy are going to create tremendous jobs. They're going to expand their companies.",They're going to expand their companies.,They're going to expand their companies.
1960,the United States should move ahead,AppealtoEmotion,Flag waving,"But when you're in a race, the only way to stay ahead is to move ahead. And I subscribe completely to the spirit that Senator Kennedy has expressed tonight, the spirit that the United States should move ahead. Where, then, do we disagree?","And I subscribe completely to the spirit that Senator Kennedy has expressed tonight, the spirit that the United States should move ahead.","And I subscribe completely to the spirit that Senator Kennedy has expressed tonight, the spirit that the United States should move ahead."
2004,"But I pledge this to you, America: I will do it in the way that Franklin Roosevelt and Ronald Reagan and John Kennedy and others did, where we build the strongest alliances, where the world joins together, where we have the best intelligence and where we are able, ultimately, to be more safe and secure.",AppealtoAuthority,False Authority,"We'll do whatever is necessary to be safe. But I pledge this to you, America: I will do it in the way that Franklin Roosevelt and Ronald Reagan and John Kennedy and others did, where we build the strongest alliances, where the world joins together, where we have the best intelligence and where we are able, ultimately, to be more safe and secure. Bob, thank you very much.","But I pledge this to you, America: I will do it in the way that Franklin Roosevelt and Ronald Reagan and John Kennedy and others did, where we build the strongest alliances, where the world joins together, where we have the best intelligence and where we are able, ultimately, to be more safe and secure.","But I pledge this to you, America: I will do it in the way that Franklin Roosevelt and Ronald Reagan and John Kennedy and others did, where we build the strongest alliances, where the world joins together, where we have the best intelligence and where we are able, ultimately, to be more safe and secure."
2004,"the serious, serious threat",AppealtoEmotion,Loaded Language,"And the unique threat was that he could give weapons of mass destruction to an organization like Al Qaida, and the harm they inflicted on us with airplanes would be multiplied greatly by weapons of mass destruction. And that was the serious, serious threat. So I tried diplomacy, went to the United Nations.","And that was the serious, serious threat.","And that was the serious, serious threat."
2000,It's the end of a reign of terror.,AppealtoEmotion,Appeal to fear,"That is a very happy ending to a terrible story. It's the end of a reign of terror. If that is not confirmed and does not happen, then I think the United States, with its European allies, ought to do everything we can to encourage the people of Serbia to do exactly what they've been doing over the last few days to rise up and end this reign of terror by Milosevic, and bring themselves back into the family of nations where they will be welcomed by the United States and others.",It's the end of a reign of terror.,It's the end of a reign of terror.
1984,"And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control.",AppealtoAuthority,Without Evidence,"And we have this arms race underway. And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control. That's why they call the President the Commander in Chief.","And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control.","And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control."
2016,"I do want to say that I was just endorsed—and more are coming next week—it will be over 200 admirals, many of them here—admirals and generals endorsed me to lead this country.",AppealtoAuthority,Without Evidence,"It's comments like that that really worry people who understand the threats that we face. I do want to say that I was just endorsed—and more are coming next week—it will be over 200 admirals, many of them here—admirals and generals endorsed me to lead this country. That just happened, and many more are coming.","I do want to say that I was just endorsed—and more are coming next week—it will be over 200 admirals, many of them here—admirals and generals endorsed me to lead this country.","I do want to say that I was just endorsed—and more are coming next week—it will be over 200 admirals, many of them here—admirals and generals endorsed me to lead this country."
2016,How stupid is our country?,AppealtoEmotion,Loaded Language,"Why do they have to say we’re going to be attacking Mosul within the next four to six weeks, which is what they’re saying? How stupid is our country? I can’t think of any.",How stupid is our country?,How stupid is our country?
1984,"In California, sometime ago, a man beat a woman so savagely that her unborn child was born dead with a fractured skull, and the California State Legislature unanimously passed a law that was signed by the then - Democratic Governor -- signed a law that said that any man who so abuses a pregnant woman that he causes the death of her unborn child shall be charged with murder.",AppealtoEmotion,Appeal to pity,"Also, there is a strange dichotomy in this whole position about our courts ruling that abortion is not the taking of a human life. In California, sometime ago, a man beat a woman so savagely that her unborn child was born dead with a fractured skull, and the California State Legislature unanimously passed a law that was signed by the then - Democratic Governor -- signed a law that said that any man who so abuses a pregnant woman that he causes the death of her unborn child shall be charged with murder. Now, isn't it strange that that same woman could have taken the life of her unborn child, and it was abortion and not murder, but if somebody else does it, that's murder?","In California, sometime ago, a man beat a woman so savagely that her unborn child was born dead with a fractured skull, and the California State Legislature unanimously passed a law that was signed by the then - Democratic Governor -- signed a law that said that any man who so abuses a pregnant woman that he causes the death of her unborn child shall be charged with murder.","In California, sometime ago, a man beat a woman so savagely that her unborn child was born dead with a fractured skull, and the California State Legislature unanimously passed a law that was signed by the then - Democratic Governor -- signed a law that said that any man who so abuses a pregnant woman that he causes the death of her unborn child shall be charged with murder."
1992,"Russia is still very unstable; they could go back to square one, and worse.",AppealtoEmotion,Appeal to fear,"Well, it's cost - effective to help Russia succeed in its revolution; it's pennies on the dollar compared to going back to the Cold War. Russia is still very unstable; they could go back to square one, and worse. All the nuclear weapons are not dismantled.","Russia is still very unstable; they could go back to square one, and worse.","Russia is still very unstable; they could go back to square one, and worse."
2016,"million. We have to make up for lost times, because I want to invest in you. I want to invest in hard - working families.",AppealtoEmotion,Flag waving,"I voted to close, I think, one of the loopholes he took advantage of when he claimed a billion - dollar loss that enabled him to avoid paying taxes. million. We have to make up for lost times, because I want to invest in you. I want to invest in hard - working families. I want to have a surcharge on incomes above $5 million.",million.,"million. We have to make up for lost times, because I want to invest in you. I want to invest in hard - working families."
2008,a tragic situation,AppealtoEmotion,Loaded Language,"Those are all things that we put in the Democratic platform for the first time this year, and I think that's where we can find some common ground, because nobody's pro - abortion. I think it's always a tragic situation. We should try to reduce these circumstances.",I think it's always a tragic situation.,I think it's always a tragic situation.
1980,"I wish he could have been with me when I sat with a group of teenagers who were black, and who were telling me about their unemployment problems, and that it was the minimum wage that had done away with the jobs that they once could get.",AppealtoAuthority,Appeal to popular opinion,"Now, the President spoke a moment ago about that I was against the minimum wage. I wish he could have been with me when I sat with a group of teenagers who were black, and who were telling me about their unemployment problems, and that it was the minimum wage that had done away with the jobs that they once could get. And indeed, every time it has increased you will find there is an increase in minority unemployment among young people.","I wish he could have been with me when I sat with a group of teenagers who were black, and who were telling me about their unemployment problems, and that it was the minimum wage that had done away with the jobs that they once could get.","I wish he could have been with me when I sat with a group of teenagers who were black, and who were telling me about their unemployment problems, and that it was the minimum wage that had done away with the jobs that they once could get."
2004,"But I want to warn my fellow citizens: The cost of doing nothing, the cost of saying the current system is OK, far exceeds the costs of trying to make sure we save the system for our children.",AppealtoEmotion,Appeal to fear,"And we're of course going to have to consider the costs. But I want to warn my fellow citizens: The cost of doing nothing, the cost of saying the current system is OK, far exceeds the costs of trying to make sure we save the system for our children. You just heard the president say that young people ought to be able to take money out of Social Security and put it in their own accounts.","But I want to warn my fellow citizens: The cost of doing nothing, the cost of saying the current system is OK, far exceeds the costs of trying to make sure we save the system for our children.","But I want to warn my fellow citizens: The cost of doing nothing, the cost of saying the current system is OK, far exceeds the costs of trying to make sure we save the system for our children."
