Date,Fallacy,Label,Subcategory,Context,full_sentence,long_fallacy
1996,"Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election.",AppealtoEmotion,Loaded Language,"Secondly, in Haiti, political violence is much, much smaller than it was. Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election. And institutions are beginning to function.","Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election.","Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election."
2000,"if we had evidence, credible evidence",AppealtoEmotion,Loaded Language,"I don't think you can afford to have a man like Saddam Hussein with nuclear weapons in the Middle East. It would, of course, be a very serious situation if we had evidence, credible evidence, that Saddam Hussein was developing weapons of mass destruction. I must say, I don't think a political campaign is the occasion to declare exactly what we would do in that case.","It would, of course, be a very serious situation if we had evidence, credible evidence, that Saddam Hussein was developing weapons of mass destruction.","It would, of course, be a very serious situation if we had evidence, credible evidence, that Saddam Hussein was developing weapons of mass destruction."
1996,"He twisted arms and got six Democrats to vote the other way, but we lost by one vote.",AppealtoEmotion,Loaded Language,"First of all, it's a balanced budget amendment to the Constitution which President Clinton defeated. He twisted arms and got six Democrats to vote the other way, but we lost by one vote. It's balancing a budget by the year 2002.","He twisted arms and got six Democrats to vote the other way, but we lost by one vote.","He twisted arms and got six Democrats to vote the other way, but we lost by one vote."
2016,choking,AppealtoEmotion,Loaded Language,"But you look at the Middle East, you started the Iran deal, that's another beauty where you have a country that was ready to fall, I mean, they were doing so badly. They were choking on the sanctions. And now they're going to be actually probably a major power at some point pretty soon, the way they're going.",They were choking on the sanctions.,They were choking on the sanctions.
2004,an aggressive effort,AppealtoEmotion,Loaded Language,"I agree, we shouldn't have quotas. But we ought to have an aggressive effort to make sure people are educated, to make sure when they get out of high school there's Pell Grants available for them, which is what we've done. We've expanded Pell Grants by a million students.","But we ought to have an aggressive effort to make sure people are educated, to make sure when they get out of high school there's Pell Grants available for them, which is what we've done.","But we ought to have an aggressive effort to make sure people are educated, to make sure when they get out of high school there's Pell Grants available for them, which is what we've done."
2016,It’s an absolute disgrace.,AppealtoEmotion,Loaded Language,"It’s a disgrace. It’s an absolute disgrace. And actually—well, that was very interesting.",It’s an absolute disgrace.,It’s an absolute disgrace.
1996,Drop dead. Drop dead.,AppealtoEmotion,Loaded Language,"Just say that area qualifies for no Capital Gains Tax, zero, nada. Drop dead. Drop dead. We don't want to change the legislation that would lower the tax rate in D. C., allow welfare mothers to take a job without any tax on the first 90 percent of her income and no Capital Gain Tax that should be done in every urban area of America that would make capital flow back, and you can't have capitalism, Al, without capital.",Drop dead.,Drop dead. Drop dead.
2004,"I disagree, strongly disagree with that.",AppealtoEmotion,Loaded Language,"I reject this notion -- and I'm suggesting my opponent isn't -- I reject the notion that some say that if you're Muslim you can't free, you don't desire freedom. I disagree, strongly disagree with that. I couldn't agree more that the Iraqis want to be free and that they could be free.","I disagree, strongly disagree with that.","I disagree, strongly disagree with that."
1960,sufficient vigor,AppealtoEmotion,Loaded Language,"It's going to be a test of our strength. And because we're going to move in sixty - one and two, partly because we have not maintained our strength with sufficient vigor in the last years, I believe that before we meet that crisis, that the next president of the United States should send a message to Congress asking for a revitalization of our military strength, because come spring or late in the winter we're going to be face to face with the most serious Berlin crisis since l949 or fifty. On the question of the summit, I agree with the position of Mr. Nixon.","And because we're going to move in sixty - one and two, partly because we have not maintained our strength with sufficient vigor in the last years, I believe that before we meet that crisis, that the next president of the United States should send a message to Congress asking for a revitalization of our military strength, because come spring or late in the winter we're going to be face to face with the most serious Berlin crisis since l949 or fifty.","And because we're going to move in sixty - one and two, partly because we have not maintained our strength with sufficient vigor in the last years, I believe that before we meet that crisis, that the next president of the United States should send a message to Congress asking for a revitalization of our military strength, because come spring or late in the winter we're going to be face to face with the most serious Berlin crisis since l949 or fifty."
2000,enormous regard,AppealtoEmotion,Loaded Language,"I'm not attacking the military, Joe. I have enormous regard for the men and women of the U. S. military. I had the privilege of working with them for the four years I was the Secretary of Defense.",I have enormous regard for the men and women of the U. S. military.,I have enormous regard for the men and women of the U. S. military.
2016,Tremendous beyond belief.,AppealtoEmotion,Loaded Language,"But stop - and - frisk had a tremendous impact on the safety of New York City. Tremendous beyond belief. So when you say it has no impact, it really did.",Tremendous beyond belief.,Tremendous beyond belief.
2000,"And to make sure our society is as hopeful as it possibly can be, every single child in America must be educated. I mean every child.",AppealtoEmotion,Loaded Language,"She's right. And to make sure our society is as hopeful as it possibly can be, every single child in America must be educated. I mean every child. It starts with making sure every child learns to read.","And to make sure our society is as hopeful as it possibly can be, every single child in America must be educated.","And to make sure our society is as hopeful as it possibly can be, every single child in America must be educated. I mean every child."
1996,much harsher language,AppealtoEmotion,Loaded Language,"That is the issue, not scaring people in America. Well, as I said before, he used much harsher language when he talked about Bob Dole. He said that Bob Dole's solution for every single problem was to increase taxes.","Well, as I said before, he used much harsher language when he talked about Bob Dole.","Well, as I said before, he used much harsher language when he talked about Bob Dole."
2008,"the most dedicated, patriotic men and women that are in this nation and they're great citizens",AppealtoEmotion,Loaded Language,"And I've -- and we've always said that that's not appropriate. But to somehow say that group of young women who said ""Military wives for McCain"" are somehow saying anything derogatory about you, but anything -- and those veterans that wear those hats that say ""World War II, Vietnam, Korea, Iraq,"" I'm not going to stand for people saying that the people that come to my rallies are anything but the most dedicated, patriotic men and women that are in this nation and they're great citizens. And I'm not going to stand for somebody saying that because someone yelled something at a rally -- there's a lot of things that have been yelled at your rallies, Senator Obama, that I'm not happy about either.","But to somehow say that group of young women who said ""Military wives for McCain"" are somehow saying anything derogatory about you, but anything -- and those veterans that wear those hats that say ""World War II, Vietnam, Korea, Iraq,"" I'm not going to stand for people saying that the people that come to my rallies are anything but the most dedicated, patriotic men and women that are in this nation and they're great citizens.","But to somehow say that group of young women who said ""Military wives for McCain"" are somehow saying anything derogatory about you, but anything -- and those veterans that wear those hats that say ""World War II, Vietnam, Korea, Iraq,"" I'm not going to stand for people saying that the people that come to my rallies are anything but the most dedicated, patriotic men and women that are in this nation and they're great citizens."
2016,Obamacare is a total disaster.,AppealtoEmotion,Loaded Language,"Obamacare was the first step. Obamacare is a total disaster. And not only are your rates going up by numbers that nobody’s ever believed, but your deductibles are going up, so that unless you get hit by a truck, you’re never going to be able to use it.",Obamacare is a total disaster.,Obamacare is a total disaster.
1996,President Clinton stopped them dead in their tracks.,AppealtoEmotion,Loaded Language,They invited the lobbyists for the biggest polluters in America to come into the Congress and literally rewrite the Clean Water Act and the Clean Air Act. President Clinton stopped them dead in their tracks. We have a positive agenda on the environment because we believe very deeply that it's about our children and our future.,President Clinton stopped them dead in their tracks.,President Clinton stopped them dead in their tracks.
1988,the most agonizing decisions,AppealtoEmotion,Loaded Language,"Peter, it's one of the most agonizing decisions a president has to make. These are American citizens, we care deeply about them.","These are American citizens, we care deeply about them.","These are American citizens, we care deeply about them."
2004,Join me in the wrong war at the wrong time at the wrong place.,AppealtoEmotion,Loaded Language,And what is he going to say to those people that show up at the summit? Join me in the wrong war at the wrong time at the wrong place. Risk your troops in a war you've called a mistake.,Join me in the wrong war at the wrong time at the wrong place.,Join me in the wrong war at the wrong time at the wrong place.
2004,That's totally absurd.,AppealtoEmotion,Loaded Language,"That's not a way to invite people. That's totally absurd. Of course, the U. N. was invited in.",That's totally absurd.,That's totally absurd.
1960,the same kind of woolly thinking,AppealtoEmotion,Loaded Language,"If we do that we start a chain reaction; because the Communists aren't after Quemoy and Matsu, they're a- they're after Formosa. In my opinion this is the same kind of woolly thinking that led to disaster for America in Korea. I am against it.",In my opinion this is the same kind of woolly thinking that led to disaster for America in Korea.,In my opinion this is the same kind of woolly thinking that led to disaster for America in Korea.
1980,It's a bully pulpit.,AppealtoEmotion,Loaded Language,"But I believe that all of us together, and I believe the Presidency is what Teddy Roosevelt said it was. It's a bully pulpit. And I think that something can be done from there, because a goal for all of us should be that one day, things will be done neither because of nor in spite of any of the differences between us - ethnic differences or racial differences, whatever they may be - that we will have total equal opportunity for all people.",It's a bully pulpit.,It's a bully pulpit.
2004,"He's a brave, brave man.",AppealtoEmotion,Loaded Language,"He is the leader of that country. He's a brave, brave man. When he came, after giving a speech to the Congress, my opponent questioned his credibility.","He's a brave, brave man.","He's a brave, brave man."
1960,distortion of the facts,AppealtoEmotion,Loaded Language,"But certainly we're not going to have peace by giving in and indicating in advance that we are not going to defend what has become a symbol of freedom. I don't think it's possible for Mr. Nixon to state the record in distortion of the facts with more precision than he just did. In 1955, Mr. Dulles at a press conference said: ""The treaty that we have with the Republic of China excludes Quemoy and Matsu from the treaty area.""",I don't think it's possible for Mr. Nixon to state the record in distortion of the facts with more precision than he just did.,I don't think it's possible for Mr. Nixon to state the record in distortion of the facts with more precision than he just did.
1960,the most dangers- dangerously irresponsible recommendations,AppealtoEmotion,Loaded Language,"Our policies are very different. I think that Senator Kennedy's policies and recommendations for the handling of the Castro regime are probably the most dangers- dangerously irresponsible recommendations that he's made during the course of this campaign. In effect, what Senator Kennedy recommends is that the United States government should give help to the exiles and to those within Cuba who oppose the Castro regime - provided they are anti - Batista.",I think that Senator Kennedy's policies and recommendations for the handling of the Castro regime are probably the most dangers- dangerously irresponsible recommendations that he's made during the course of this campaign.,I think that Senator Kennedy's policies and recommendations for the handling of the Castro regime are probably the most dangers- dangerously irresponsible recommendations that he's made during the course of this campaign.
2008,a vigorous supporter,AppealtoEmotion,Loaded Language,"Even FOX News disputes it, and that doesn't happen very often when it comes to accusations about me. So the fact of the matter is that if I occasionally have mistaken your policies for George Bush's policies, it's because on the core economic issues that matter to the American people, on tax policy, on energy policy, on spending priorities, you have been a vigorous supporter of President Bush. Now, you've shown independence -- commendable independence, on some key issues like torture, for example, and I give you enormous credit for that.","So the fact of the matter is that if I occasionally have mistaken your policies for George Bush's policies, it's because on the core economic issues that matter to the American people, on tax policy, on energy policy, on spending priorities, you have been a vigorous supporter of President Bush.","So the fact of the matter is that if I occasionally have mistaken your policies for George Bush's policies, it's because on the core economic issues that matter to the American people, on tax policy, on energy policy, on spending priorities, you have been a vigorous supporter of President Bush."
2004,the catastrophic cases,AppealtoEmotion,Loaded Language,"I have a plan that's going to allow people 55 to 64 to buy into Medicare early. And I have a plan that will take the catastrophic cases out of the system, off your backs, pay for it out of a federal fund, which lowers the premiums for everybody in America, makes American business more competitive and makes health care more affordable. Now, all of that can happen, but I have to ask you to do one thing: Join me in rolling back the president's unaffordable tax cut for people earning more than $200,000 a year.","And I have a plan that will take the catastrophic cases out of the system, off your backs, pay for it out of a federal fund, which lowers the premiums for everybody in America, makes American business more competitive and makes health care more affordable.","And I have a plan that will take the catastrophic cases out of the system, off your backs, pay for it out of a federal fund, which lowers the premiums for everybody in America, makes American business more competitive and makes health care more affordable."
1976,a tremendous increase,AppealtoEmotion,Loaded Language,"We had a substantial increase in new permits for housing. As a matter of fact, based on the announcement this week, there will be at an annual rate of a million, eight hundred and some thousand new houses built, which is a tremendous increase over last year and a substantial increase over the earlier part of this year. Now in addition, we had a very - some very good news in the reduction in the rate of inflation.","As a matter of fact, based on the announcement this week, there will be at an annual rate of a million, eight hundred and some thousand new houses built, which is a tremendous increase over last year and a substantial increase over the earlier part of this year.","As a matter of fact, based on the announcement this week, there will be at an annual rate of a million, eight hundred and some thousand new houses built, which is a tremendous increase over last year and a substantial increase over the earlier part of this year."
2004,"I don't know how you can govern in this country when you look at New York City and you see that 50 percent of the black males there are unemployed, when you see 40 percent of Hispanic children -- of black children in some cities -- dropping out of high school.",AppealtoEmotion,Loaded Language,"We have a long distance yet to travel in terms of fairness in America. I don't know how you can govern in this country when you look at New York City and you see that 50 percent of the black males there are unemployed, when you see 40 percent of Hispanic children -- of black children in some cities -- dropping out of high school. And yet the president who talks about No Child Left Behind refused to fully fund -- by $28 billion -- that particular program so you can make a difference in the lives of those young people.","I don't know how you can govern in this country when you look at New York City and you see that 50 percent of the black males there are unemployed, when you see 40 percent of Hispanic children -- of black children in some cities -- dropping out of high school.","I don't know how you can govern in this country when you look at New York City and you see that 50 percent of the black males there are unemployed, when you see 40 percent of Hispanic children -- of black children in some cities -- dropping out of high school."
1980,a disturbing pattern in the attitude of Governor Reagan,AppealtoEmotion,Loaded Language,"Every President who has served in the Oval Office since Harry Truman has been dedicated to the proposition of controlling nuclear weapons. To negotiate with the Soviet Union a balanced, controlled, observable, and then reducing levels of atomic weaponry, there is a disturbing pattern in the attitude of Governor Reagan. He has never supported any of those arms control agreements - the limited test ban, SALT I, nor the Antiballistic Missile Treaty, nor the Vladivostok Treaty negotiated with the Soviet Union by President Ford - and now he wants to throw into the wastebasket a treaty to control nuclear weapons on a balanced and equal basis between ourselves and the Soviet Union, negotiated over a seven - year period, by myself and my two Republican predecessors.","To negotiate with the Soviet Union a balanced, controlled, observable, and then reducing levels of atomic weaponry, there is a disturbing pattern in the attitude of Governor Reagan.","To negotiate with the Soviet Union a balanced, controlled, observable, and then reducing levels of atomic weaponry, there is a disturbing pattern in the attitude of Governor Reagan."
1992,It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages. And it's a big fight.,AppealtoEmotion,Loaded Language,"One thing I've called for that has been stymied, and I'll keep on working for it, is a whole financial reform legislation. It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages. And it's a big fight. And I don't want to give my friend Ross another shot at me here but I am fighting with the Congress to get this through.",It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages.,It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages. And it's a big fight.
2000,"The use of diplomacy in this situation has already, well, it goes hour - by - hour and day - by - day now. It's a very tense situation there.",AppealtoEmotion,Loaded Language,"I think that we also have to keep a weather eye toward Saddam Hussein because he is taking advantage of this situation to once again make threats, and he needs to understand that he's not only dealing with Israel, he is dealing -- he's dealing with us if he is making the kind of threats that he's talking about there. The use of diplomacy in this situation has already, well, it goes hour - by - hour and day - by - day now. It's a very tense situation there. But in the last 24 hours there has been some subsiding of the violence there.","The use of diplomacy in this situation has already, well, it goes hour - by - hour and day - by - day now.","The use of diplomacy in this situation has already, well, it goes hour - by - hour and day - by - day now. It's a very tense situation there."
1980,shameful,AppealtoEmotion,Loaded Language,"And as a result, the families of some of our young servicemen are on food stamps today. And I think that's shocking; it's shameful. So, yes, I told the American Legion National!",And I think that's shocking; it's shameful.,And I think that's shocking; it's shameful.
2004,incredibly enough,AppealtoEmotion,Loaded Language,"And we made good progress early on. The No Child Left Behind Act, incredibly enough, was good work between me and my administration and people like Senator Ted Kennedy. And we worked together with Democrats to relieve the tax burden on the middle class and all who pay taxes in order to make sure this economy continues to grow.","The No Child Left Behind Act, incredibly enough, was good work between me and my administration and people like Senator Ted Kennedy.","The No Child Left Behind Act, incredibly enough, was good work between me and my administration and people like Senator Ted Kennedy."
2012,the greatest engine of prosperity the world's ever known,AppealtoEmotion,Loaded Language,That's not what I believe. I believe that the free enterprise system is the greatest engine of prosperity the world's ever known. I believe in self - reliance and individual initiative and risk takers being rewarded.,I believe that the free enterprise system is the greatest engine of prosperity the world's ever known.,I believe that the free enterprise system is the greatest engine of prosperity the world's ever known.
2016,Because you’d be in jail.,AppealtoEmotion,Loaded Language,"Last time at the first debate, we had millions of people fact checking, so I expect we’ll have millions more fact checking, because, you know, it is—it’s just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country. Because you’d be in jail. [applause] Well, Martha, first, let me say—and I’ve said before, but I’ll repeat it, because I want everyone to hear it—that was a mistake, and I take responsibility for using a personal e - mail account.",Because you’d be in jail.,Because you’d be in jail.
2004,"And secondly, only a liberal senator from Massachusetts would say that a 49 percent increase in funding for education was not enough.",AppealtoEmotion,Loaded Language,"One, he clearly has a litmus test for his judges, which I disagree with. And secondly, only a liberal senator from Massachusetts would say that a 49 percent increase in funding for education was not enough. We've increased funds.","And secondly, only a liberal senator from Massachusetts would say that a 49 percent increase in funding for education was not enough.","And secondly, only a liberal senator from Massachusetts would say that a 49 percent increase in funding for education was not enough."
2008,our hurt feelings,AppealtoEmotion,Loaded Language,"It absolutely is true. And, now, I think the American people are less interested in our hurt feelings during the course of the campaign than addressing the issues that matter to them so deeply. And there is nothing wrong with us having a vigorous debate like we're having tonight about health care, about energy policy, about tax policy.","And, now, I think the American people are less interested in our hurt feelings during the course of the campaign than addressing the issues that matter to them so deeply.","And, now, I think the American people are less interested in our hurt feelings during the course of the campaign than addressing the issues that matter to them so deeply."
